id;product_comment;author;comment_title;product_id
1;Pants;Gloves Automotive;Chief;1
2;Manager olive;auxiliary holistic Sports;Costa Shoes Ergonomic;2
3;driver Rwanda;Run;hack Pines Metal;3
4;Fork;Wooden;Licensed Morocco;4
5;sexy Consultant enterprise;Coordinator Customer-focused Sleek;Mississippi Hat Jewelery;5
6;pink navigate budgetary;Savings Tuna;red Corporate;6
7;Loan Pants indexing;Streamlined full-range;invoice;7
8;Crescent parse;facilitate;Practical Birr;8
9;Franc Associate;Hat;Customer Future-proofed;9
10;haptic;Account Frozen Radial;Tasty payment leverage;10
